_id,BatchFileName,Indiv_Index,Race,DifficultyPerceiving,AgeCategory,Gender,DistanceBetweenOfficerAndIndiv,ReasonUseOfForce_EffectArrest,ReasonUseOfForce_PreventOffence,ReasonUseOfForce_PreventEscape,ReasonUseOfForce_ProtectOtherOfficers,ReasonUseOfForce_ProtectPublic,ReasonUseOfForce_ProtectSelf,ReasonUseOfForce_ProtectIndiv,ReasonUseOfForce_Unintentional,ReasonUseOfForce_Other,FactorsInfluenceResponse_NatureIncident,FactorsInfluenceResponse_PastHistory,FactorsInfluenceResponse_PhysicalSizeStrength,FactorsInfluenceResponse_OtherFactors,IndividualActions_ResistantPassive,IndividualActions_ResistantActive,IndividualActions_Assaultive,IndividualActions_SeriousBodilyHarmDeath,PerceiveAccessWeapon,OfficerResponses_DirectionsToComply,OfficerResponses_Comply,OfficerResponses_AttemptDeescalation,OfficerResponses_DeescalationTechniques_Communication,OfficerResponses_DeescalationTechniques_Containment,OfficerResponses_DeescalationTechniques_Cover,OfficerResponses_DeescalationTechniques_Distance,OfficerResponses_DeescalationTechniques_Repositioning,OfficerResponses_DeescalationTechniques_Teamwork,OfficerResponses_DeescalationTechniques_Time,OfficerResponses_DeescalationTechniques_Other,OfficerResponses_AssistCtrlBhvr,OfficerResponses_Reason_ImminentThreat,OfficerResponses_Reason_ActionRequiredImmediately,OfficerResponses_Reason_DeescalationUsedOtherOfficers,OfficerResponses_Reason_Other,TypeForceUsed_PhysicalControl_Check,TypeForceUsed_PhysicalControl_EscortTechniques,TypeForceUsed_PhysicalControl_Grounding,TypeForceUsed_PhysicalControl_JointLocks,TypeForceUsed_PhysicalControl_Pinning,TypeForceUsed_PhysicalControl_PressurePoints,TypeForceUsed_PhysicalControl_Strikes,TypeForceUsed_PhysicalControl_Other,TypeForceUsed_PhysicalControl_AssistCtrlBhvr,TypeForceUsed_IntermWeapon_Check,TypeForceUsed_IntermWeapon_OC_Check,TypeForceUsed_IntermWeapon_OC_AssistCtrlBhvr,TypeForceUsed_IntermWeapon_Baton_Check,TypeForceUsed_IntermWeapon_Baton_Hard,TypeForceUsed_IntermWeapon_Baton_Soft,TypeForceUsed_IntermWeapon_Baton_AssistCtrlBhvr,TypeForceUsed_IntermWeapon_CEW_Check,TypeForceUsed_IntermWeapon_CEW_AssistCtrlBhvr,TypeForceUsed_IntermWeapon_CEW_WhyNot_CartridgeMalfunction,TypeForceUsed_IntermWeapon_CEW_WhyNot_Disconnect,TypeForceUsed_IntermWeapon_CEW_WhyNot_InsufficientProbeSpread,TypeForceUsed_IntermWeapon_CEW_WhyNot_OperatorError,TypeForceUsed_IntermWeapon_CEW_WhyNot_ProbeMiss,TypeForceUsed_IntermWeapon_CEW_WhyNot_WeaponMalfunction,TypeForceUsed_IntermWeapon_CEW_WhyNot_Other,TypeForceUsed_IntermWeapon_CEW_Drawn,TypeForceUsed_IntermWeapon_CEW_Pointed,TypeForceUsed_IntermWeapon_CEW_Discharged,TypeForceUsed_IntermWeapon_CEW_DeloymentMode_Cartridge,TypeForceUsed_IntermWeapon_CEW_DeloymentMode_DrivePushStun,TypeForceUsed_IntermWeapon_CEW_DeloymentMode_ThreePointContact,TypeForceUsed_IntermWeapon_CEW_DrivePushStunCycles,TypeForceUsed_IntermWeapon_CEW_ThreePointContactCycles,TypeForceUsed_LLFirearm_Check,TypeForceUsed_LLFirearm_Shotgun_Check,TypeForceUsed_LLFirearm_Shotgun_Pointed,TypeForceUsed_LLFirearm_Shotgun_Discharged,TypeForceUsed_LLFirearm_Shotgun_AssistCtrlBhvr,TypeForceUsed_LLFirearm_ExtRangeImpactWeapon_Check,TypeForceUsed_LLFirearm_ExtRangeImpactWeapon_Pointed,TypeForceUsed_LLFirearm_ExtRangeImpactWeapon_Discharged,TypeForceUsed_LLFirearm_ExtRangeImpactWeapon_AssistCtrlBhvr,TypeForceUsed_Other_Check,TypeForceUsed_Other_AssistCtrlBhvr,TypeForceUsed_Firearm_Check,TypeForceUsed_Firearm_Handgun_Check,TypeForceUsed_Firearm_Handgun_Drawn,TypeForceUsed_Firearm_Handgun_Pointed,TypeForceUsed_Firearm_Handgun_Discharged,TypeForceUsed_Firearm_Handgun_AssistCtrlBhvr,TypeForceUsed_Firearm_Rifle_Check,TypeForceUsed_Firearm_Rifle_Pointed,TypeForceUsed_Firearm_Rifle_Discharged,TypeForceUsed_Firearm_Rifle_AssistCtrlBhvr,TypeForceUsed_Firearm_ShotgunLethal_Check,TypeForceUsed_Firearm_ShotgunLethal_Pointed,TypeForceUsed_Firearm_ShotgunLethal_Discharged,TypeForceUsed_Firearm_ShotgunLethal_AssistControllingBehaviour,TypeForceUsed_Firearm_IssuePoliceChallenge,TypeForceUsed_Firearm_Comply,TypeForceUsed_Firearm_NoChallengeWhyNot_NotViable,TypeForceUsed_Firearm_NoChallengeWhyNot_IssuedByAnOtherOfficer,TypeForceUsed_Firearm_NoChallengeWhyNot_Other,IndivInjuries_PhysicalInjuries,IndividualInjuries_Treatment_No,IndividualInjuries_Treatment_FirstAid,IndividualInjuries_Treatment_MedicalPersonnelScene,IndividualInjuries_Treatment_AdmissionMedicalFacility,IndividualInjuries_Treatment_MedicalFacility,IndividualInjuries_Treatment_Unknown,IndividualInjuries_Treatment_Other
7445,213930529,1,Middle Eastern,Yes,25 - 34,Male,Less than 3 metres (approx. 10 feet),,,1,1,1,1,1,,,1,1,1,1,,,,,,Yes,Yes,No,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7446,339873086,1,Black,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,,,1,,,,,1,1,1,1,Yes,No,Yes,1,1,1,1,1,1,1,,Yes,,,,,1,,,,1,,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,No,,,,,Yes,No,,,,No,,,,,,,
7447,339873086,2,Black,No,25 - 34,Female,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,,,1,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,Yes,,,,,Yes,Yes,,,,No,,,,,,,
7448,339873086,3,Black,No,25 - 34,Female,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,,,1,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,Yes,,,,,Yes,Yes,,,,No,,,,,,,
7449,591260380,1,East/Southeast Asian,No,18 - 24,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,,,,1,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,Yes,,,,,,,,,Yes,Yes,,,,No,,,,,,,
7450,570187753,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,1,1,,1,,,,1,,1,,,1,,,1,Yes,No,No,,,,,,,,,,,1,,,1,,1,1,1,,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,1,,,
7451,570187753,2,White,No,25 - 34,Female,Less than 3 metres (approx. 10 feet),1,,1,1,,1,,,,1,,,,,1,,,1,Yes,No,No,,,,,,,,,,,1,,,1,,1,,,,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,1,,,
7452,146297102,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,,,,,,,,,,,,,,,,1,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,Yes,Yes,,,,No,,,,,,,
7453,376100436,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,,,1,,1,,,1,1,,1,Yes,No,Yes,1,,,,,1,,,No,,,,,1,,,,1,,1,,Yes,1,,,,,,,1,No,,,,,,,1,,,1,1,1,1,Multiple Cycles,Multiple Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7454,372705805,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,,,,1,,,,,1,1,,1,Yes,No,Yes,1,,,1,1,1,,,No,,,,,,,,,,,,,,1,,,,,,,1,No,,,1,,,,,,1,1,1,1,1,Extended Cycle (more than 5 seconds),Extended Cycle (more than 5 seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7455,106404498,1,Black,No,18 - 24,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,,,,1,,,,,,,,1,Yes,Yes,No,,,,,,,,,,1,1,,,1,1,1,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,Yes,,,,,Yes,Yes,,,,No,,,,,,,
7456,878180858,1,White,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,1,1,,1,,,,1,1,Yes,No,No,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7457,712806292,1,White,No,17 and younger,Trans/Non-binary/Other,Less than 3 metres (approx. 10 feet),,1,,1,1,1,1,,,1,,,,1,,,1,1,Yes,No,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7458,464021330,1,Indigenous,No,35 - 44,Female,3 to 7 metres (approx. 10 to 23 feet),1,1,,,,,,,,,,,,1,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7459,566316497,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),1,1,,1,1,1,,,,1,,,,1,,,,1,Yes,Yes,Yes,1,,,1,1,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,1,,,No,,,,,,,
7460,642819851,1,Black,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,,1,1,,,,1,,,1,1,,,1,1,Yes,No,Yes,1,,,1,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,,,1,No,,,,,,,
7461,572739586,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,,1,1,1,,,,,,,,,,,1,,Yes,Yes,Yes,1,1,,,,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,Yes,Yes,,,,No,,,,,,,
7462,430170046,1,Latino,Yes,18 - 24,Male,Less than 3 metres (approx. 10 feet),,1,1,1,1,1,1,,,,1,,1,,,1,,1,Yes,No,Yes,1,1,,,,1,1,,No,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1,,1,,
7463,257498732,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,,1,,1,1,,,,1,,,,,1,,,,Yes,Yes,Yes,1,,1,1,,,,,Yes,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7464,465746227,1,White,No,17 and younger,Female,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,,,,1,1,,1,1,,,1,1,Yes,No,Yes,1,1,,1,,1,1,,Yes,,,,,1,,1,,,,,,Yes,1,,,,,,,1,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
7465,188153094,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,1,,1,,,,1,Yes,No,Yes,1,,,,,1,,,No,,,,,1,,1,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,Yes,Yes,,,,No,,,,,,,
7466,535076805,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,,1,,,,,,,1,,1,,1,,,,,Yes,Yes,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,1,,,No,,,,,,,
7467,535076805,2,White,No,25 - 34,Female,3 to 7 metres (approx. 10 to 23 feet),1,,1,,,,,,,1,,,,1,,,,,Yes,Yes,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,1,,,No,,,,,,,
7468,813750178,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,1,1,1,1,,,,,1,,,1,,,,,Yes,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,No,,,,,,,,,Yes,No,,,,No,,,,,,,
7469,568165958,1,White,No,18 - 24,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,,,,1,1,,,,,1,1,1,Yes,Yes,Yes,1,1,1,1,1,1,,,Yes,,,,,1,1,,,,,,,Yes,1,,,,,,,1,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,1,,,No,,,,,,,
7470,821369775,1,White,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,1,1,,1,,,,,1,Yes,Yes,Yes,1,1,1,1,,1,,,Yes,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,,1,,,,,,,1,,,,,1,1,,No,,,1,1,,1,,Yes,,,,,,,,,No,,,,1,No,,,,,,,
7471,843484142,1,White,No,17 and younger,Female,3 to 7 metres (approx. 10 to 23 feet),1,,1,1,1,1,,,,,1,,,,,1,1,1,Yes,No,Yes,1,1,,1,,1,,,No,,,,,1,,1,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,No,,,,,,,,,Yes,No,,,,No,,,,,,,
7472,897435123,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,,,,1,1,,,,1,Yes,Yes,Yes,1,1,1,1,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,Yes,Yes,,,,No,,,,,,,
7473,979965904,1,Black,Yes,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,,,,,1,,,,,1,1,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,,1,,,,,,,1,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,Yes,,,,,,,,,No,,,,1,No,,,,,,,
7474,740423167,1,White,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,1,,,1,1,,,,1,,,,,,,1,1,Yes,Yes,Yes,1,,,1,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,Yes,,,,,,,,,,,,,,No,,,,,,,
7475,740423167,2,White,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,1,,,1,1,,,,,,,,,,,1,1,Yes,Yes,Yes,1,1,,1,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,Yes,,,,,,,,,,,,,,No,,,,,,,
7476,672122260,1,Black,No,17 and younger,Male,Greater than 7 metres (more than 23 feet),1,1,,1,1,1,,,,1,,,,,,,1,1,Yes,Yes,No,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,Yes,,,,,,,,,No,,,1,,No,,,,,,,
7477,687175867,1,East/Southeast Asian,No,65 and older,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,1,,,,,,,,1,1,1,1,No,,No,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,No,,,,,,,,,No,,,1,,No,,,,,,,
