_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
146,579609379,1,Extended Cycle (more than 5 seconds)
147,988246483,1,Single Cycle (5 seconds)
148,443690357,1,Single Cycle (5 seconds)
149,391444710,1,Single Cycle (5 seconds)
150,824421015,1,Single Cycle (5 seconds)
151,274264879,1,Single Cycle (5 seconds)
152,566229812,1,Single Cycle (5 seconds)
153,566229812,1,Extended Cycle (more than 5 seconds)
154,479624013,1,Extended Cycle (more than 5 seconds)
155,607397845,1,Single Cycle (5 seconds)
156,379398969,1,Single Cycle (5 seconds)
157,491046740,1,Extended Cycle (more than 5 seconds)
158,495518066,1,Extended Cycle (more than 5 seconds)
159,266758576,1,Single Cycle (5 seconds)
160,381844091,1,Single Cycle (5 seconds)
161,438380308,1,Single Cycle (5 seconds)
162,320357713,1,Single Cycle (5 seconds)
163,837355370,1,Single Cycle (5 seconds)
164,809418139,1,Multiple Cycles
165,446272881,1,Multiple Cycles
166,998412072,1,Single Cycle (5 seconds)
167,310810992,1,Single Cycle (5 seconds)
168,310810992,1,Multiple Cycles
169,837573854,1,Single Cycle (5 seconds)
170,339613855,1,Single Cycle (5 seconds)
171,810576734,1,Single Cycle (5 seconds)
172,832512153,1,Multiple Cycles
173,824343983,1,Single Cycle (5 seconds)
174,173823597,1,Single Cycle (5 seconds)
175,468622197,1,Single Cycle (5 seconds)
176,427127339,1,Single Cycle (5 seconds)
177,132646327,1,Multiple Cycles
178,249350875,1,Multiple Cycles
179,278384494,1,Single Cycle (5 seconds)
180,811046738,1,Single Cycle (5 seconds)
181,293306842,1,Multiple Cycles
182,183104018,1,Single Cycle (5 seconds)
183,183104018,1,Multiple Cycles
184,483367720,1,Single Cycle (5 seconds)
185,483002199,1,Extended Cycle (more than 5 seconds)
186,509277602,1,Single Cycle (5 seconds)
187,783857483,1,Single Cycle (5 seconds)
188,624090651,1,Single Cycle (5 seconds)
189,844634155,1,Single Cycle (5 seconds)
190,210219794,1,Extended Cycle (more than 5 seconds)
191,621222220,1,Single Cycle (5 seconds)
192,249837744,1,Single Cycle (5 seconds)
193,885618456,1,Multiple Cycles
194,646208032,1,Single Cycle (5 seconds)
195,839381316,1,Single Cycle (5 seconds)
196,906757924,1,Extended Cycle (more than 5 seconds)
197,629699793,1,Single Cycle (5 seconds)
198,757460014,1,Multiple Cycles
199,314148342,1,Single Cycle (5 seconds)
200,995036311,1,Single Cycle (5 seconds)
201,995036311,1,Multiple Cycles
202,766024683,1,Single Cycle (5 seconds)
203,559486562,1,Single Cycle (5 seconds)
204,327971400,1,Single Cycle (5 seconds)
205,569722125,1,Single Cycle (5 seconds)
206,199292808,1,Single Cycle (5 seconds)
207,249967660,1,Single Cycle (5 seconds)
208,697214729,1,Single Cycle (5 seconds)
209,805983175,1,Single Cycle (5 seconds)
210,809544686,1,Multiple Cycles
211,485541385,1,Single Cycle (5 seconds)
212,153939955,1,Single Cycle (5 seconds)
213,160364041,1,Single Cycle (5 seconds)
214,780487571,1,Single Cycle (5 seconds)
215,540353292,1,Single Cycle (5 seconds)
216,865669863,1,Single Cycle (5 seconds)
217,145204587,1,Multiple Cycles
218,335773828,1,Single Cycle (5 seconds)
219,434935515,1,Multiple Cycles
